   15  etu   etu
   15  ȧwa   aiwa
   15  āmi   āmi
   15  pāh   pāh
   15  fia   whia
   15  ōkȧ   ōkai
   15  mœa   moea
   15  kum   kum
   15  ōne   ōne
   15  taw   taw
   15  ȧru   airu
   15  uŋu   ungu
   15  inȯ   inoi
   15  eni   eni
   15  hōt   hōt
   15  irȯ   iroi
   15  rȧt   rait
   15  ŋāp   ngāp
   15  ken   ken
   15  akå   akao
   15  kȧm   kaim
   15  mōn   mōn
   15  epa   epa
   14  āpā   āpā
   14  mia   mia
   14  hör   hour
   14  okī   okī
   14  huf   huwh
   14  iit   iit
   14  rāo   rāo
   14  ȧan   aian
   14  mān   mān
   14  uhe   uhe
   14  ewi   ewi
   14  uro   uro
   14  hår   haor
   14  kun   kun
   14  nut   nut
   14  ātā   ātā
   14  ham   ham
   13  tōp   tōp
   13  him   him
   13  aŋu   angu
   13  not   not
   13  wir   wir
   13  orā   orā
   13  het   het
   13  hem   hem
   13  āko   āko
   13  hoh   hoh
   13  kuk   kuk
   13  öri   ouri
   13  pui   pui
   13  ŋur   ngur
   13  awā   awā
   13  wet   wet
   13  āpo   āpo
   13  nem   nem
   12  hīr   hīr
   12  täk   tauk
   12  ewe   ewe
   12  äti   auti
   12  ŋiā   ngiā
   12  ŋȧa   ngaia
   12  hōn   hōn
   12  īni   īni
   12  rän   raun
   12  afa   awha
   12  tȧw   taiw
   12  peh   peh
   12  ifa   iwha
   12  uhå   uhao
   12  apæ   apae
   12  iwȧ   iwai
   12  win   win
   12  rȧr   rair
   12  ōmi   ōmi
   12  arå   arao
   12  fȧa   whaia
   12  eat   eat
   12  pȧa   paia
   12  käa   kaua
   12  āki   āki
   12  öru   ouru
   12  kaū   kaū
   12  apā   apā
   12  opa   opa
   12  fæa   whaea
   12  åne   aone
   12  ȧmo   aimo
   12  ipe   ipe
   12  rȧm   raim
   12  ŋom   ngom
   12  ōhu   ōhu
   12  pep   pep
   12  fȧm   whaim
   12  pām   pām
   11  ein   ein
   11  ŋaŋ   ngang
   11  ōro   ōro
   11  pær   paer
   11  īro   īro
   11  inȧ   inai
   11  upo   upo
   11  pæa   paea
   11  ŋoh   ngoh
   11  eur   eur
   11  ōme   ōme
   11  wen   wen
   11  uŋi   ungi
   11  kīh   kīh
   11  ewa   ewa
   11  ūŋa   ūnga
   11  wȧm   waim
   11  ikā   ikā
   11  wȧo   waio
   11  nap   nap
   11  haa   haa
   11  ŋoŋ   ngong
   11  waa   waa
   11  oŋi   ongi
   11  tūā   tūā
   11  awæ   awae
   11  iāt   iāt
   11  efa   ewha
   11  raf   rawh
   11  akæ   akae
   11  ōpa   ōpa
   11  pōk   pōk
   11  tif   tiwh
   11  ŋut   ngut
   11  māf   māwh
   11  æro   aero
   11  tȧk   taik
   11  mup   mup
   11  tīr   tīr
   11  awi   awi
   10  oot   oot
   10  īhȧ   īhai
   10  oŋȯ   ongoi
   10  pei   pei
   10  ōki   ōki
   10  kāf   kāwh
   10  æti   aeti
   10  wæw   waew
   10  wēp   wēp
   10  wea   wea
   10  hāt   hāt
   10  hah   hah
   10  umo   umo
   10  pȧŋ   paing
   10  wāw   wāw
   10  räk   rauk
   10  ŋam   ngam
   10  mor   mor
   10  ōhe   ōhe
   10  pör   pour
   10  ēpi   ēpi
   10  hen   hen
   10  tem   tem
   10  poh   poh
   10  råa   raoa
   10  æwæ   aewae
   10  hōŋ   hōng
   10  naa   naa
   10  inā   inā
   10  epo   epo
   10  ōpo   ōpo
   10  tāw   tāw
   10  eon   eon
   10  ōŋo   ōngo
   10  maw   maw
   10  īre   īre
   10  ähe   auhe
   10  mär   maur
   10  mäh   mauh
   10  kio   kio
   10  tep   tep
   10  uap   uap
   10  āoa   āoa
   10  ŋuŋ   ngung
    9  uaū   uaū
    9  īha   īha
    9  ȧtā   aitā
    9  tȧf   taiwh
    9  kȧā   kaiā
    9  aæt   aaet
    9  raa   raa
    9  ȧfe   aiwhe
    9  pȧp   paip
    9  mær   maer
    9  häm   haum
    9  hāk   hāk
    9  hum   hum
    9  huh   huh
    9  āhæ   āhae
    9  maa   maa
    9  tån   taon
    9  mīh   mīh
    9  ärä   aurau
    9  fet   whet
    9  neo   neo
    9  rui   rui
    9  ūhi   ūhi
    9  erē   erē
    9  käk   kauk
    9  rum   rum
    9  pup   pup
    9  hāŋ   hāng
    9  pöa   poua
    9  kēt   kēt
    9  pūk   pūk
    9  tūŋ   tūng
    9  hun   hun
    9  ämā   aumā
    9  ŋaw   ngaw
    9  aūp   aūp
    8  met   met
    8  kim   kim
    8  amä   amau
    8  rep   rep
    8  ätu   autu
    8  tiŋ   ting
    8  oor   oor
    8  äak   auak
    8  oop   oop
    8  tȧp   taip
    8  kūm   kūm
    8  tōh   tōh
    8  ote   ote
    8  peŋ   peng
    8  uni   uni
    8  mep   mep
    8  huȧ   huai
    8  ōfi   ōwhi
    8  uäa   uaua
    8  āuŋ   āung
    8  okȯ   okoi
    8  ŋaa   ngaa
    8  apō   apō
    8  koo   koo
    8  iaŋ   iang
    8  åta   aota
    8  kēh   kēh
    8  riu   riu
    8  iur   iur
    8  akȯ   akoi
    8  ȧtō   aitō
    8  kuh   kuh
    8  nor   nor
    8  tän   taun
    8  wāt   wāt
    8  net   net
    8  ŋio   ngio
    8  wit   wit
    8  irā   irā
    8  hāu   hāu
    8  ōtu   ōtu
    8  mim   mim
    8  mōk   mōk
    8  keo   keo
    8  ahö   ahou
    8  täh   tauh
    8  uir   uir
    8  rēm   rēm
    8  uȧn   uain
    8  ōpu   ōpu
    8  ier   ier
    8  iar   iar
    8  fāŋ   whāng
    8  ēme   ēme
    8  ŋāk   ngāk
    7  for   whor
    7  māk   māk
    7  rȧn   rain
    7  ēhu   ēhu
    7  ähä   auhau
    7  kik   kik
    7  euh   euh
    7  rif   riwh
    7  ēti   ēti
    7  ōka   ōka
    7  upa   upa
    7  orö   orou
    7  ekȧ   ekai
    7  räe   raue
    7  rōf   rōwh
    7  pāŋ   pāng
    7  ipā   ipā
    7  ōkā   ōkā
    7  kȧa   kaia
    7  kōp   kōp
    7  ŋȯk   ngoik
    7  äem   auem
    7  nim   nim
    7  œŋa   oenga
    7  arī   arī
    7  ōfe   ōwhe
    7  moo   moo
    7  kōf   kōwh
    7  äku   auku
    7  pip   pip
    7  uih   uih
    7  nep   nep
    7  uīn   uīn
    7  ume   ume
    7  kip   kip
    7  ōpi   ōpi
    7  āpe   āpe
    7  käh   kauh
    7  häh   hauh
    7  ȯko   oiko
    7  otȧ   otai
    7  kuī   kuī
    7  aaw   aaw
    7  mei   mei
    7  wȧn   wain
    7  pin   pin
    6  pæt   paet
    6  äkī   aukī
    6  ūru   ūru
    6  mām   mām
    6  uan   uan
    6  eho   eho
    6  anȧ   anai
    6  ȯrā   oirā
    6  mop   mop
    6  ŋor   ngor
    6  nuh   nuh
    6  ȧār   aiār
    6  īia   īia
    6  pūr   pūr
    6  āku   āku
    6  änu   aunu
    6  kān   kān
    6  ȧpā   aipā
    6  nōp   nōp
    6  mio   mio
    6  röa   roua
    6  ötū   outū
    6  akī   akī
    6  āpō   āpō
    6  ŋāw   ngāw
    6  täf   tauwh
    6  kīi   kīi
    6  ūke   ūke
    6  irä   irau
    6  īra   īra
    6  ime   ime
    6  hēn   hēn
    6  pōf   pōwh
    6  kȯr   koir
    6  amå   amao
    6  rii   rii
    6  ȧŋo   aingo
    6  pōu   pōu
    6  etū   etū
    6  run   run
    6  äha   auha
    6  ōtæ   ōtae
    6  ōur   ōur
    6  eie   eie
    6  tāi   tāi
    6  nif   niwh
    6  uaŋ   uang
    6  aam   aam
    6  uor   uor
    6  eŋi   engi
    6  uko   uko
    6  eko   eko
    6  eku   eku
    6  ȯti   oiti
    6  wek   wek
    6  ūmo   ūmo
    6  ēna   ēna
    6  kof   kowh
    6  räm   raum
    6  ȯar   oiar
    6  fio   whio
    6  tāu   tāu
    6  ōma   ōma
    6  pōn   pōn
    6  riw   riw
    6  oon   oon
    6  ūki   ūki
    6  māŋ   māng
    6  epe   epe
    6  ūāh   ūāh
    6  onā   onā
    5  orȯ   oroi
    5  eiŋ   eing
    5  æhæ   aehae
    5  rūr   rūr
    5  muk   muk
    5  uhä   uhau
    5  weŋ   weng
    5  upȧ   upai
    5  äho   auho
    5  erū   erū
    5  rūt   rūt
    5  eip   eip
    5  māi   māi
    5  ŋun   ngun
    5  ūān   ūān
    5  hīk   hīk
    5  ŋōr   ngōr
    5  äah   auah
    5  tuā   tuā
    5  āpæ   āpae
    5  æta   aeta
    5  īto   īto
    5  apä   apau
    5  huå   huao
    5  roo   roo
    5  wāk   wāk
    5  pūn   pūn
    5  pæp   paep
    5  epu   epu
    5  pȯh   poih
    5  ȧre   aire
    5  rīh   rīh
    5  rȯr   roir
    5  piw   piw
    5  epȧ   epai
    5  ūrā   ūrā
    5  fiu   whiu
    5  ȧpȧ   aipai
    5  waw   waw
    5  tef   tewh
    5  ōää   ōauau
    5  iia   iia
    5  hiw   hiw
    5  how   how
    5  ȧpe   aipe
    5  āru   āru
    5  pam   pam
    5  räŋ   raung
    5  ȧhi   aihi
    5  erā   erā
    5  ref   rewh
    5  pūā   pūā
    5  anå   anao
